batch_index,stage,detector_loss,descriptor_loss,cosine,detector_grad_norm,descriptor_grad_norm,dot_product,tensor_count,conflict
0,shared_all,0.5314208269119263,0.12404979020357132,0.042393974709074765,0.5385327230645502,0.41238755267851523,0.009415031606295088,16,0
0,conv1,0.5314208269119263,0.12404979020357132,0.09113172327870869,0.45797183453669044,0.060802761572307476,0.0025376496159879025,4,0
0,conv2,0.5314208269119263,0.12404979020357132,0.15070349262331695,0.12252292455957338,0.06077536354576984,0.0011221947625017492,4,0
0,conv3,0.5314208269119263,0.12404979020357132,0.21439010085712318,0.18142435410398514,0.20480872760524987,0.007966155390931817,4,0
0,conv4,0.5314208269119263,0.12404979020357132,-0.03537747465032687,0.1798683665288,0.34745684346686045,-0.002210968163126381,4,1
1,shared_all,0.5806335806846619,0.18596702814102173,0.3078286169507284,0.6706903927759342,0.8154191862182509,0.16834956646926003,16,0
1,conv1,0.5806335806846619,0.18596702814102173,-0.07241125353529766,0.45907920659228246,0.14722572879992954,-0.004894151410553604,4,1
1,conv2,0.5806335806846619,0.18596702814102173,0.37283145870327755,0.18749745801541165,0.20173188028280228,0.014102057160926051,4,0
1,conv3,0.5806335806846619,0.18596702814102173,0.6791878506136341,0.3494564596402309,0.6167503692121757,0.14638359189848416,4,0
1,conv4,0.5806335806846619,0.18596702814102173,0.09464279951305768,0.2860013480562846,0.47133455696179777,0.012758068820403423,4,0
2,shared_all,0.4662579894065857,0.025513261556625366,0.1207098256661596,0.485262234605756,0.11325331726400314,0.006633917222529817,16,0
2,conv1,0.4662579894065857,0.025513261556625366,0.4746220026868853,0.30502144496735323,0.024932839587376056,0.0036095244213356636,4,0
2,conv2,0.4662579894065857,0.025513261556625366,0.1384954143136371,0.18820944121949718,0.04700676462739495,0.0012252851211087545,4,0
2,conv3,0.4662579894065857,0.025513261556625366,0.03400271897105086,0.27078841962871397,0.06833497843025783,0.0006291972204053309,4,0
2,conv4,0.4662579894065857,0.025513261556625366,0.08734004519939448,0.183554331126857,0.07297507919565428,0.001169910459680068,4,0
3,shared_all,0.5035942792892456,0.0,,0.4069973584685729,0.0,0.0,16,
3,conv1,0.5035942792892456,0.0,,0.3325002128322089,0.0,0.0,4,
3,conv2,0.5035942792892456,0.0,,0.09869567798475481,0.0,0.0,4,
3,conv3,0.5035942792892456,0.0,,0.15514724321581444,0.0,0.0,4,
3,conv4,0.5035942792892456,0.0,,0.14587307611959902,0.0,0.0,4,
4,shared_all,0.5730441808700562,0.018847256898880005,-0.1310402071228683,0.47552729613247924,0.06912816984173617,-0.0043075971534562996,16,1
4,conv1,0.5730441808700562,0.018847256898880005,-0.48120712775654173,0.30046371087383045,0.017217440020083883,-0.0024893883742151957,4,1
4,conv2,0.5730441808700562,0.018847256898880005,0.05504017755223677,0.10281486038573893,0.012506151451237842,7.077166287672298e-05,4,0
4,conv3,0.5730441808700562,0.018847256898880005,-0.14825297297779338,0.1919254956586722,0.04646077148704045,-0.0013219727379691903,4,1
4,conv4,0.5730441808700562,0.018847256898880005,-0.04095489430433088,0.2973911169067225,0.046553802353088695,-0.0005670077041486365,4,1
5,shared_all,0.635764479637146,0.20731140673160553,-0.3288323149215105,0.6020952857600641,0.6695864853550306,-0.1325703479378717,16,1
5,conv1,0.635764479637146,0.20731140673160553,-0.27206677512504257,0.39279485646009976,0.12891206978806016,-0.013776372667052783,4,1
5,conv2,0.635764479637146,0.20731140673160553,-0.41457514409033547,0.16668870656853507,0.11876067246731618,-0.008206955622881651,4,1
5,conv3,0.635764479637146,0.20731140673160553,-0.6956741228609385,0.32818877485230297,0.4072764508188185,-0.0929862794582732,4,1
5,conv4,0.635764479637146,0.20731140673160553,-0.13006669470500185,0.2696997164189018,0.501746484707764,-0.017600740189664066,4,1
6,shared_all,0.5590691566467285,0.10406185686588287,0.6195676620584843,0.557544306337954,0.5829124882813059,0.20135920450775302,16,0
6,conv1,0.5590691566467285,0.10406185686588287,0.4998466549137639,0.29535303036396016,0.08902223343017127,0.013142461306415498,4,0
6,conv2,0.5590691566467285,0.10406185686588287,0.6634420499176685,0.24215087955046213,0.16540876152611775,0.026573426323011518,4,0
6,conv3,0.5590691566467285,0.10406185686588287,0.8609788219951041,0.3873344034467158,0.4720990032042877,0.15743874733743723,4,0
6,conv4,0.5590691566467285,0.10406185686588287,0.12033318299483398,0.12229984637852294,0.2856999890327641,0.0042045695408887696,4,0
7,shared_all,0.5391280055046082,0.19271060824394226,0.04622583579222173,0.32056349895577124,0.7989114672189641,0.011838522308607935,16,0
7,conv1,0.5391280055046082,0.19271060824394226,0.3738726588597141,0.12689591090553368,0.17562770097537495,0.008332289493409917,4,0
7,conv2,0.5391280055046082,0.19271060824394226,-0.027126563429746158,0.08908830787901757,0.18395251000825133,-0.00044455060560721904,4,1
7,conv3,0.5391280055046082,0.19271060824394226,-0.049044475936121816,0.20577060406894726,0.5129196363680933,-0.0051763395458692685,4,1
7,conv4,0.5391280055046082,0.19271060824394226,0.08587732238179173,0.19073572438999345,0.5572157246468816,0.009127122966674506,4,0
