pair_id,seed_label,side,stage,structure,x,y,distance_to_skeleton,distance_to_junction,distance_to_endpoint
35_r_t,G0_seed3407,query,detected,non_vessel,1299.0,87.0,9.009307861328125,12.162185668945312,16.143646240234375
35_r_t,G0_seed3407,query,detected,junction,1424.0,96.0,0.9550018310546875,4.648590087890625,0.9550018310546875
35_r_t,G0_seed3407,query,detected,non_vessel,1107.0,108.0,110.23190307617188,114.21336364746094,111.06048583984375
35_r_t,G0_seed3407,query,detected,junction,1299.0,132.0,3.6935882568359375,6.9728851318359375,3.6935882568359375
35_r_t,G0_seed3407,query,detected,non_vessel,1005.0,141.0,24.197952270507812,28.144378662109375,26.107955932617188
35_r_t,G0_seed3407,query,detected,junction,1420.0,141.0,2.8650054931640625,2.8650054931640625,12.57647705078125
35_r_t,G0_seed3407,query,detected,junction,1633.0,164.0,5.6035919189453125,5.6035919189453125,110.64619445800781
35_r_t,G0_seed3407,query,detected,non_vessel,1022.0,191.0,25.279373168945312,26.648666381835938,28.685089111328125
35_r_t,G0_seed3407,query,detected,non_vessel,1177.0,200.0,77.43893432617188,90.71757507324219,77.43893432617188
35_r_t,G0_seed3407,query,detected,junction,1296.0,209.0,0.9550018310546875,0.9550018310546875,11.747894287109375
35_r_t,G0_seed3407,query,detected,junction,1724.0,220.0,1.369293212890625,3.279296875,1.369293212890625
35_r_t,G0_seed3407,query,detected,non_vessel,1427.0,231.0,25.532211303710938,28.270797729492188,25.532211303710938
35_r_t,G0_seed3407,query,detected,non_vessel,1630.0,236.0,55.425140380859375,55.965850830078125,97.76812744140625
35_r_t,G0_seed3407,query,detected,non_vessel,995.0,238.0,44.99018859863281,46.35948181152344,44.99018859863281
35_r_t,G0_seed3407,query,detected,non_vessel,1049.0,245.0,43.8173828125,43.8173828125,44.35809326171875
35_r_t,G0_seed3407,query,detected,junction,1717.0,258.0,5.189300537109375,6.01788330078125,22.252914428710938
35_r_t,G0_seed3407,query,detected,non_vessel,897.0,265.0,20.25152587890625,21.747238159179688,20.25152587890625
35_r_t,G0_seed3407,query,detected,non_vessel,1613.0,270.0,94.93815612792969,95.47886657714844,106.32810974121094
35_r_t,G0_seed3407,query,detected,non_vessel,988.0,274.0,27.568634033203125,28.93792724609375,27.568634033203125
35_r_t,G0_seed3407,query,detected,junction,1299.0,274.0,5.189300537109375,5.189300537109375,7.387176513671875
35_r_t,G0_seed3407,query,detected,junction,1235.0,279.0,0.9550018310546875,4.648590087890625,6.1443023681640625
35_r_t,G0_seed3407,query,detected,non_vessel,786.0,281.0,107.80250549316406,109.58609008789062,107.80250549316406
35_r_t,G0_seed3407,query,detected,non_vessel,1819.0,283.0,93.59017944335938,93.59017944335938,95.78805541992188
35_r_t,G0_seed3407,query,detected,junction,1717.0,308.0,1.910003662109375,5.6035919189453125,2.3242950439453125
35_r_t,G0_seed3407,query,detected,junction,1137.0,312.0,0.0,2.3242950439453125,0.0
35_r_t,G0_seed3407,query,detected,junction,1279.0,312.0,0.9550018310546875,2.3242950439453125,0.9550018310546875
35_r_t,G0_seed3407,query,detected,junction,1454.0,317.0,0.9550018310546875,0.9550018310546875,15.567901611328125
35_r_t,G0_seed3407,query,detected,junction,1323.0,319.0,6.1443023681640625,6.1443023681640625,9.964309692382812
35_r_t,G0_seed3407,query,detected,junction,1215.0,324.0,0.9550018310546875,2.3242950439453125,0.9550018310546875
35_r_t,G0_seed3407,query,detected,non_vessel,1593.0,330.0,75.89447021484375,80.00234985351562,75.89447021484375
35_r_t,G0_seed3407,query,detected,junction,1404.0,337.0,1.910003662109375,2.8650054931640625,1.910003662109375
35_r_t,G0_seed3407,query,detected,junction,1002.0,342.0,2.3242950439453125,2.3242950439453125,2.8650054931640625
35_r_t,G0_seed3407,query,detected,junction,1194.0,355.0,0.9550018310546875,0.9550018310546875,4.2342987060546875
35_r_t,G0_seed3407,query,detected,junction,1711.0,373.0,2.8650054931640625,2.8650054931640625,12.702896118164062
35_r_t,G0_seed3407,query,detected,non_vessel,1029.0,378.0,16.270065307617188,25.279373168945312,16.270065307617188
35_r_t,G0_seed3407,query,detected,non_vessel,1329.0,391.0,40.66450500488281,41.20521545410156,55.7830810546875
35_r_t,G0_seed3407,query,detected,non_vessel,1842.0,393.0,55.97956848144531,57.88957214355469,59.385284423828125
35_r_t,G0_seed3407,query,detected,endpoint,1579.0,400.0,3.279296875,9.837890625,3.279296875
35_r_t,G0_seed3407,query,detected,junction,1481.0,402.0,2.3242950439453125,3.6935882568359375,2.3242950439453125
35_r_t,G0_seed3407,query,detected,junction,1204.0,405.0,5.730010986328125,5.730010986328125,6.846466064453125
35_r_t,G0_seed3407,query,detected,junction,1269.0,407.0,0.9550018310546875,2.3242950439453125,2.3242950439453125
35_r_t,G0_seed3407,query,detected,junction,853.0,411.0,3.6935882568359375,3.6935882568359375,17.927230834960938
35_r_t,G0_seed3407,query,detected,junction,921.0,418.0,1.910003662109375,3.6935882568359375,7.09930419921875
35_r_t,G0_seed3407,query,detected,non_vessel,1417.0,418.0,62.158905029296875,62.158905029296875,64.06890869140625
35_r_t,G0_seed3407,query,detected,junction,1164.0,423.0,0.9550018310546875,0.9550018310546875,5.0628814697265625
35_r_t,G0_seed3407,query,detected,junction,1795.0,432.0,0.9550018310546875,0.9550018310546875,1.910003662109375
35_r_t,G0_seed3407,query,detected,non_vessel,1029.0,434.0,65.83877563476562,70.64881896972656,65.96519470214844
35_r_t,G0_seed3407,query,detected,non_vessel,1336.0,447.0,31.585128784179688,32.12583923339844,31.585128784179688
35_r_t,G0_seed3407,query,detected,junction,1944.0,447.0,1.369293212890625,1.369293212890625,1.910003662109375
35_r_t,G0_seed3407,query,detected,junction,1144.0,456.0,2.73858642578125,3.279296875,3.279296875
35_r_t,G0_seed3407,query,detected,junction,1728.0,456.0,0.9550018310546875,0.9550018310546875,71.28091430664062
